@RELATION possessions

@ATTRIBUTE ID string
@ATTRIBUTE left5 string
@ATTRIBUTE left4 string
@ATTRIBUTE left3 string
@ATTRIBUTE left2 string
@ATTRIBUTE left1 string
@ATTRIBUTE left_bigram string
@ATTRIBUTE left_bigram_pos string
@ATTRIBUTE left_trigram string
@ATTRIBUTE left_trigram_pos string
@ATTRIBUTE left5 role
@ATTRIBUTE left4 role
@ATTRIBUTE left3 role
@ATTRIBUTE left2 role
@ATTRIBUTE left1 role
@ATTRIBUTE right1 string
@ATTRIBUTE right2 string
@ATTRIBUTE right3 string
@ATTRIBUTE right4 string
@ATTRIBUTE right5 string
@ATTRIBUTE right_bigram string
@ATTRIBUTE right_bigram_pos string
@ATTRIBUTE right_trigram string
@ATTRIBUTE right_trigram_pos string
@ATTRIBUTE right1 role
@ATTRIBUTE right2 role
@ATTRIBUTE right3 role
@ATTRIBUTE right4 role
@ATTRIBUTE right5 role
@ATTRIBUTE neighbor_sentence string
@ATTRIBUTE possessive_pronoun numeric
@ATTRIBUTE jj_near numeric
@ATTRIBUTE low_category string
@ATTRIBUTE top_category string
@ATTRIBUTE word string
@ATTRIBUTE class {non_possession,possession}

@DATA
"1_10_64","NN","JJ","JJ","NNP","TO", "to_Amsterdam’s Amsterdam’s_famous famous_red red_light", "TO_NNP NNP_JJ JJ_JJ JJ_NN", "to_Amsterdam’s_famous Amsterdam’s_famous_red famous_red_light", "TO_NNP_JJ NNP_JJ_JJ JJ_JJ_NN","aux","dep","amod","amod","compmod", "VBD", "IN", "NNS", "IN", "DT", "filled_with with_ladies ladies_of of_the", "VBD_IN IN_NNS NNS_IN IN_DT", "filled_with_ladies with_ladies_of ladies_of_the", "VBD_IN_NNS IN_NNS_IN NNS_IN_DT","rcmod","adpmod","adpobj","adpmod","det", "to Amsterdam’s famous red light filled with ladies of the", 0, 1, "", "", "district", non_possession
"1_10_67","IN","VBD","NN","NN","JJ", "red_light light_district district_filled filled_with", "JJ_NN NN_NN NN_VBD VBD_IN", "red_light_district light_district_filled district_filled_with", "JJ_NN_NN NN_NN_VBD NN_VBD_IN","amod","compmod","nsubj","rcmod","adpmod", "IN", "DT", "NN", "RB", "VBG", "of_the the_night night_seductively seductively_trying", "IN_DT DT_NN NN_RB RB_VBG", "of_the_night the_night_seductively night_seductively_trying", "IN_DT_NN DT_NN_RB NN_RB_VBG","adpmod","det","adpobj","advmod","adpcomp", "red light district filled with of the night seductively trying", 0, 0, "", "", "ladies", non_possession
"1_10_70","DT","IN","NNS","IN","VBD", "filled_with with_ladies ladies_of of_the", "VBD_IN IN_NNS NNS_IN IN_DT", "filled_with_ladies with_ladies_of ladies_of_the", "VBD_IN_NNS IN_NNS_IN NNS_IN_DT","rcmod","adpmod","adpobj","adpmod","det", "RB", "VBG", "TO", "VB", "PRP", "seductively_trying trying_to to_beckon beckon_you", "RB_VBG VBG_TO TO_VB VB_PRP", "seductively_trying_to trying_to_beckon to_beckon_you", "RB_VBG_TO VBG_TO_VB TO_VB_PRP","advmod","adpcomp","aux","xcomp","dobj", "filled with ladies of the seductively trying to beckon you", 0, 0, "", "", "night", non_possession
"1_10_80","DT","DT","IN","PRP","VB", "beckon_you you_over over_all all_the", "VB_PRP PRP_IN IN_DT DT_DT", "beckon_you_over you_over_all over_all_the", "VB_PRP_IN PRP_IN_DT IN_DT_DT","xcomp","dobj","dobj","det","det", "NNS", "VBP", "VBG", "IN", "DT", "kids_are are_walking walking_about about_the", "NNS_VBP VBP_VBG VBG_IN IN_DT", "kids_are_walking are_walking_about walking_about_the", "NNS_VBP_VBG VBP_VBG_IN VBG_IN_DT","nsubj","aux","adpcomp","adpmod","det", "beckon you over all the kids are walking about the", 0, 0, "", "", "while", non_possession
"1_10_81","NN","DT","DT","IN","PRP", "you_over over_all all_the the_while", "PRP_IN IN_DT DT_DT DT_NN", "you_over_all over_all_the all_the_while", "PRP_IN_DT IN_DT_DT DT_DT_NN","dobj","dobj","det","det","compmod", "VBP", "VBG", "IN", "DT", "NNS", "are_walking walking_about about_the the_premises", "VBP_VBG VBG_IN IN_DT DT_NNS", "are_walking_about walking_about_the about_the_premises", "VBP_VBG_IN VBG_IN_DT IN_DT_NNS","aux","adpcomp","adpmod","det","adpobj", "you over all the while are walking about the premises", 0, 0, "", "", "kids", non_possession
"1_10_86","DT","IN","VBG","VBP","NNS", "kids_are are_walking walking_about about_the", "NNS_VBP VBP_VBG VBG_IN IN_DT", "kids_are_walking are_walking_about walking_about_the", "NNS_VBP_VBG VBP_VBG_IN VBG_IN_DT","nsubj","aux","adpcomp","adpmod","det", "VBG", "PRP$", "JJ", "NN", "", "minding_their their_own own_business", "VBG_PRP$ PRP$_JJ JJ_NN", "minding_their_own their_own_business", "VBG_PRP$_JJ PRP$_JJ_NN","partmod","poss","amod","dobj","", "kids are walking about the minding their own business", 0, 0, "", "", "premises", non_possession
"1_10_90","JJ","PRP$","VBG","NNS","DT", "the_premises premises_minding minding_their their_own", "DT_NNS NNS_VBG VBG_PRP$ PRP$_JJ", "the_premises_minding premises_minding_their minding_their_own", "DT_NNS_VBG NNS_VBG_PRP$ VBG_PRP$_JJ","det","adpobj","partmod","poss","amod", "", "", "", "", "", "", "", "", "","","","","","", "the premises minding their own", 1, 1, "", "", "business", non_possession
"1_11_1","VBG", "", "", "", "", "", "", "", "","","","","","", "RB", "RB", "IN", "IN", "WP", "so_far far_out out_of of_what", "RB_RB RB_IN IN_IN IN_WP", "so_far_out far_out_of out_of_what", "RB_RB_IN RB_IN_IN IN_IN_WP","advmod","advmod","adpmod","adpmod","", "Seeing so far out of what", 0, 0, "", "", "something", non_possession
"1_11_8","PRP$","WP","IN","IN","RB", "far_out out_of of_what what_my", "RB_IN IN_IN IN_WP WP_PRP$", "far_out_of out_of_what of_what_my", "RB_IN_IN IN_IN_WP IN_WP_PRP$","advmod","adpmod","adpmod","","", "VBD", "PRP", "RB", "VBZ", "VBN", "taught_me me_right right_has has_shocked", "VBD_PRP PRP_RB RB_VBZ VBZ_VBN", "taught_me_right me_right_has right_has_shocked", "VBD_PRP_RB PRP_RB_VBZ RB_VBZ_VBN","rcmod","nsubj","advmod","aux","ccomp", "far out of what my taught me right has shocked", 1, 0, "", "", "surroundings", non_possession
"1_11_22","JJ","DT","IN","IN","PRP", "me_smile smile_at at_the the_same", "PRP_IN IN_IN IN_DT DT_JJ", "me_smile_at smile_at_the at_the_same", "PRP_IN_IN IN_IN_DT IN_DT_JJ","","","adpmod","det","amod", "", "", "", "", "", "", "", "", "","","","","","", "me smile at the same", 0, 1, "", "", "time", non_possession
"1_11_32","IN","VBD","PRP","IN","VB", "grow_because because_I I_realized realized_that", "VB_IN IN_PRP PRP_VBD VBD_IN", "grow_because_I because_I_realized I_realized_that", "VB_IN_PRP IN_PRP_VBD PRP_VBD_IN","","mark","nsubj","ccomp","mark", "VBZ", "RB", "JJ", "CC", "JJ", "is_inherently inherently_good good_or or_bad", "VBZ_RB RB_JJ JJ_CC CC_JJ", "is_inherently_good inherently_good_or good_or_bad", "VBZ_RB_JJ RB_JJ_CC JJ_CC_JJ","ccomp","advmod","acomp","cc","conj", "grow because I realized that is inherently good or bad", 0, 0, "", "", "nothing", non_possession
"1_11_42","PRP$","RB","JJ","JJ","CC", "or_bad bad_it’s it’s_only only_our", "CC_JJ JJ_JJ JJ_RB RB_PRP$", "or_bad_it’s bad_it’s_only it’s_only_our", "CC_JJ_JJ JJ_JJ_RB JJ_RB_PRP$","cc","conj","amod","advmod","poss", "WDT", "VBP", "PRP", "RB", "", "that_make make_it it_so", "WDT_VBP VBP_PRP PRP_RB", "that_make_it make_it_so", "WDT_VBP_PRP VBP_PRP_RB","nsubj","rcmod","","","", "or bad it’s only our that make it so", 1, 1, "", "", "perceptions", non_possession
"1_12_1","PRP$", "", "", "", "", "", "", "", "","","","","","", "VBD", "RB", "VBN", "IN", "DT", "was_also also_blown blown_during during_the", "VBD_RB RB_VBN VBN_IN IN_DT", "was_also_blown also_blown_during blown_during_the", "VBD_RB_VBN RB_VBN_IN VBN_IN_DT","auxpass","advmod","partmod","adpmod","det", "My was also blown during the", 1, 0, "", "", "mind", non_possession
"1_12_9","JJ","JJ","DT","IN","VBN", "blown_during during_the the_first first_few", "VBN_IN IN_DT DT_JJ JJ_JJ", "blown_during_the during_the_first the_first_few", "VBN_IN_DT IN_DT_JJ DT_JJ_JJ","partmod","adpmod","det","amod","amod", "IN", "JJ", "JJ", "WDT", "VBN", "with_Asian Asian_traffic traffic_which which_made", "IN_JJ JJ_JJ JJ_WDT WDT_VBN", "with_Asian_traffic Asian_traffic_which traffic_which_made", "IN_JJ_JJ JJ_JJ_WDT JJ_WDT_VBN","adpmod","amod","adpobj","","", "blown during the first few with Asian traffic which made", 0, 1, "", "", "encounters", non_possession
"1_12_22","DT","VBD","PRP","IN","VBP", "feel_like like_I I_was was_the", "VBP_IN IN_PRP PRP_VBD VBD_DT", "feel_like_I like_I_was I_was_the", "VBP_IN_PRP IN_PRP_VBD PRP_VBD_DT","rcmod","mark","nsubj","ccomp","det", "IN", "NNP", "DT", "JJ", "NN", "from_Frogger Frogger_the the_classic classic_arcade", "IN_NNP NNP_DT DT_JJ JJ_NN", "from_Frogger_the Frogger_the_classic the_classic_arcade", "IN_NNP_DT NNP_DT_JJ DT_JJ_NN","adpmod","adpobj","det","amod","compmod", "feel like I was the from Frogger the classic arcade", 0, 0, "", "", "frog", non_possession
"1_12_24","IN","NN","DT","VBD","PRP", "I_was was_the the_frog frog_from", "PRP_VBD VBD_DT DT_NN NN_IN", "I_was_the was_the_frog the_frog_from", "PRP_VBD_DT VBD_DT_NN DT_NN_IN","nsubj","ccomp","det","dobj","adpmod", "DT", "JJ", "NN", "NN", "", "the_classic classic_arcade arcade_game", "DT_JJ JJ_NN NN_NN", "the_classic_arcade classic_arcade_game", "DT_JJ_NN JJ_NN_NN","det","amod","compmod","dep","", "I was the frog from the classic arcade game", 0, 0, "", "", "Frogger", non_possession
"1_12_28","JJ","DT","NNP","IN","NN", "frog_from from_Frogger Frogger_the the_classic", "NN_IN IN_NNP NNP_DT DT_JJ", "frog_from_Frogger from_Frogger_the Frogger_the_classic", "NN_IN_NNP IN_NNP_DT NNP_DT_JJ","dobj","adpmod","adpobj","det","amod", "NN", "", "", "", "", "", "", "", "","dep","","","","", "frog from Frogger the classic game", 0, 1, "", "", "arcade", non_possession
"1_12_29","NN","JJ","DT","NNP","IN", "from_Frogger Frogger_the the_classic classic_arcade", "IN_NNP NNP_DT DT_JJ JJ_NN", "from_Frogger_the Frogger_the_classic the_classic_arcade", "IN_NNP_DT NNP_DT_JJ DT_JJ_NN","adpmod","adpobj","det","amod","compmod", "", "", "", "", "", "", "", "", "","","","","","", "from Frogger the classic arcade", 0, 1, "", "", "game", non_possession
"1_13_5","PRP$","IN","RP","VBN","VBG", "Getting_shocked shocked_out out_of of_our", "VBG_VBN VBN_RP RP_IN IN_PRP$", "Getting_shocked_out shocked_out_of out_of_our", "VBG_VBN_RP VBN_RP_IN RP_IN_PRP$","","","prt","adpmod","poss", "VBZ", "NN", "VBG", "IN", "DT", "is_eye eye_opening opening_for for_a", "VBZ_NN NN_VBG VBG_IN IN_DT", "is_eye_opening eye_opening_for opening_for_a", "VBZ_NN_VBG NN_VBG_IN VBG_IN_DT","aux","nsubj","xcomp","adpmod","det", "Getting shocked out of our is eye opening for a", 1, 0, "", "", "minds", non_possession
"1_13_7","VBZ","NNS","PRP$","IN","RP", "out_of of_our our_minds minds_is", "RP_IN IN_PRP$ PRP$_NNS NNS_VBZ", "out_of_our of_our_minds our_minds_is", "RP_IN_PRP$ IN_PRP$_NNS PRP$_NNS_VBZ","prt","adpmod","poss","adpobj","aux", "VBG", "IN", "DT", "JJ", "NNS", "opening_for for_a a_few few_reasons", "VBG_IN IN_DT DT_JJ JJ_NNS", "opening_for_a for_a_few a_few_reasons", "VBG_IN_DT IN_DT_JJ DT_JJ_NNS","xcomp","adpmod","det","amod","adpobj", "out of our minds is opening for a few reasons", 1, 0, "", "", "eye", non_possession
"1_13_12","JJ","DT","IN","VBG","NN", "eye_opening opening_for for_a a_few", "NN_VBG VBG_IN IN_DT DT_JJ", "eye_opening_for opening_for_a for_a_few", "NN_VBG_IN VBG_IN_DT IN_DT_JJ","nsubj","xcomp","adpmod","det","amod", "", "", "", "", "", "", "", "", "","","","","","", "eye opening for a few", 0, 1, "", "", "reasons", non_possession
"1_14_6","DT","IN","VBP","PRP", "", "We_live live_in in_the", "PRP_VBP VBP_IN IN_DT", "We_live_in live_in_the", "PRP_VBP_IN VBP_IN_DT","","nsubj","ROOT","adpmod","det", "RB", "RBR", "RB", "IN", "RB", "much_more more_often often_without without_even", "RB_RBR RBR_RB RB_IN IN_RB", "much_more_often more_often_without often_without_even", "RB_RBR_RB RBR_RB_IN RB_IN_RB","","advmod","advmod","","advmod", "We live in the much more often without even", 0, 0, "", "", "moment", non_possession
"1_14_23","DT","VBP","PRP","VBN","VBP", "am_shocked shocked_I I_have have_no", "VBP_VBN VBN_PRP PRP_VBP VBP_DT", "am_shocked_I shocked_I_have I_have_no", "VBP_VBN_PRP VBN_PRP_VBP PRP_VBP_DT","aux","","nsubj","","det", "TO", "VB", "", "", "", "to_think", "TO_VB", "", "","aux","xcomp","","","", "am shocked I have no to think", 0, 0, "", "", "time", non_possession
"1_14_28","JJ", "", "", "", "", "", "", "", "","","","","","amod", "VBP", "TO", "VB", "DT", "TO", "tend_to to_do do_that that_to", "VBP_TO TO_VB VB_DT DT_TO", "tend_to_do to_do_that do_that_to", "VBP_TO_VB TO_VB_DT VB_DT_TO","ROOT","aux","xcomp","det","aux", "Mind–boggling tend to do that to", 0, 1, "", "", "experiences", non_possession
"1_15_5","IN","VBP","PRP", "", "", "We_learn learn_about", "PRP_VBP VBP_IN", "We_learn_about", "PRP_VBP_IN","","","nsubj","ROOT","adpmod", "IN", "NN", "JJ", "JJ", "NNS", "by_finding finding_new new_personal personal_limits", "IN_NN NN_JJ JJ_JJ JJ_NNS", "by_finding_new finding_new_personal new_personal_limits", "IN_NN_JJ NN_JJ_JJ JJ_JJ_NNS","adpmod","adpobj","amod","amod","", "We learn about by finding new personal limits", 0, 0, "", "", "ourselves", non_possession
"1_15_7","IN","NNS","IN","VBP","PRP", "We_learn learn_about about_ourselves ourselves_by", "PRP_VBP VBP_IN IN_NNS NNS_IN", "We_learn_about learn_about_ourselves about_ourselves_by", "PRP_VBP_IN VBP_IN_NNS IN_NNS_IN","nsubj","ROOT","adpmod","adpobj","adpmod", "JJ", "JJ", "NNS", "PRP", "MD", "new_personal personal_limits limits_we we_might", "JJ_JJ JJ_NNS NNS_PRP PRP_MD", "new_personal_limits personal_limits_we limits_we_might", "JJ_JJ_NNS JJ_NNS_PRP NNS_PRP_MD","amod","amod","","nsubj","aux", "We learn about ourselves by new personal limits we might", 0, 0, "", "", "finding", non_possession
"1_15_10","JJ","JJ","NN","IN","NNS", "ourselves_by by_finding finding_new new_personal", "NNS_IN IN_NN NN_JJ JJ_JJ", "ourselves_by_finding by_finding_new finding_new_personal", "NNS_IN_NN IN_NN_JJ NN_JJ_JJ","adpobj","adpmod","adpobj","amod","amod", "PRP", "MD", "VB", "RB", "VBN", "we_might might_have have_never never_thought", "PRP_MD MD_VB VB_RB RB_VBN", "we_might_have might_have_never have_never_thought", "PRP_MD_VB MD_VB_RB VB_RB_VBN","nsubj","aux","rcmod","advmod","", "ourselves by finding new personal we might have never thought", 0, 1, "", "", "limits", non_possession
"1_15_27","PRP$","CC","PRP","VBP","PRP", "we_break break_them them_and and_our", "PRP_VBP VBP_PRP PRP_CC CC_PRP$", "we_break_them break_them_and them_and_our", "PRP_VBP_PRP VBP_PRP_CC PRP_CC_PRP$","nsubj","ROOT","dobj","cc","poss", "NN", "VBZ", "", "", "", "zone_expands", "NN_VBZ", "", "","nsubj","conj","","","", "we break them and our zone expands", 1, 0, "", "", "comfort", non_possession
"1_15_28","NN","PRP$","CC","PRP","VBP", "break_them them_and and_our our_comfort", "VBP_PRP PRP_CC CC_PRP$ PRP$_NN", "break_them_and them_and_our and_our_comfort", "VBP_PRP_CC PRP_CC_PRP$ CC_PRP$_NN","ROOT","dobj","cc","poss","compmod", "VBZ", "", "", "", "", "", "", "", "","conj","","","","", "break them and our comfort expands", 1, 0, "", "", "zone", non_possession
"1_15_40","VB","TO","JJ","VB","MD", "might_be be_uncomfortable uncomfortable_to to_see", "MD_VB VB_JJ JJ_TO TO_VB", "might_be_uncomfortable be_uncomfortable_to uncomfortable_to_see", "MD_VB_JJ VB_JJ_TO JJ_TO_VB","aux","xcomp","acomp","aux","xcomp", "IN", "NNS", "CC", "PRP", "VBD", "near_prostitutes prostitutes_but but_it it_did", "IN_NNS NNS_CC CC_PRP PRP_VBD", "near_prostitutes_but prostitutes_but_it but_it_did", "IN_NNS_CC NNS_CC_PRP CC_PRP_VBD","adpmod","adpobj","cc","nsubj","conj", "might be uncomfortable to see near prostitutes but it did", 0, 1, "", "", "children", non_possession
"1_15_42","IN","NNS","VB","TO","JJ", "uncomfortable_to to_see see_children children_near", "JJ_TO TO_VB VB_NNS NNS_IN", "uncomfortable_to_see to_see_children see_children_near", "JJ_TO_VB TO_VB_NNS VB_NNS_IN","acomp","aux","xcomp","dobj","adpmod", "CC", "PRP", "VBD", "VB", "IN", "but_it it_did did_stick stick_out", "CC_PRP PRP_VBD VBD_VB VB_IN", "but_it_did it_did_stick did_stick_out", "CC_PRP_VBD PRP_VBD_VB VBD_VB_IN","cc","nsubj","conj","","adpmod", "uncomfortable to see children near but it did stick out", 0, 0, "", "", "prostitutes", non_possession
"1_15_51","PRP$","IN","IN","VB","VBD", "did_stick stick_out out_in in_my", "VBD_VB VB_IN IN_IN IN_PRP$", "did_stick_out stick_out_in out_in_my", "VBD_VB_IN VB_IN_IN IN_IN_PRP$","conj","","adpmod","","poss", "", "", "", "", "", "", "", "", "","","","","","", "did stick out in my", 1, 0, "", "", "mind", non_possession
"1_16_2", "", "", "", "", "", "", "", "", "","","","","","", "NNS", "IN", "DT", "PRP", "VBP", "experiences_like like_these these_we we_get", "NNS_IN IN_DT DT_PRP PRP_VBP", "experiences_like_these like_these_we these_we_get", "NNS_IN_DT IN_DT_PRP DT_PRP_VBP","adpobj","adpmod","adpobj","nsubj","ROOT", "experiences like these we get", 0, 0, "", "", "After", non_possession
"1_16_3","NNP", "", "", "", "", "", "", "", "","","","","","adpmod", "IN", "DT", "PRP", "VBP", "TO", "like_these these_we we_get get_to", "IN_DT DT_PRP PRP_VBP VBP_TO", "like_these_we these_we_get we_get_to", "IN_DT_PRP DT_PRP_VBP PRP_VBP_TO","adpmod","adpobj","nsubj","ROOT","aux", "After like these we get to", 0, 0, "", "", "experiences", non_possession
"1_16_12","DT","VB","TO","VBP","PRP", "we_get get_to to_see see_the", "PRP_VBP VBP_TO TO_VB VB_DT", "we_get_to get_to_see to_see_the", "PRP_VBP_TO VBP_TO_VB TO_VB_DT","nsubj","ROOT","aux","xcomp","det", "IN", "DT", "JJ", "VBN", "NN", "with_a a_new new_refined refined_set", "IN_DT DT_JJ JJ_VBN VBN_NN", "with_a_new a_new_refined new_refined_set", "IN_DT_JJ DT_JJ_VBN JJ_VBN_NN","adpmod","det","amod","amod","adpobj", "we get to see the with a new refined set", 0, 0, "", "", "world", non_possession
"1_16_18","VBN","JJ","DT","IN","NN", "world_with with_a a_new new_refined", "NN_IN IN_DT DT_JJ JJ_VBN", "world_with_a with_a_new a_new_refined", "NN_IN_DT IN_DT_JJ DT_JJ_VBN","dobj","adpmod","det","amod","amod", "IN", "NNS", "", "", "", "of_eyes", "IN_NNS", "", "","adpmod","adpobj","","","", "world with a new refined of eyes", 0, 1, "", "", "set", non_possession
"1_16_20","IN","NN","VBN","JJ","DT", "a_new new_refined refined_set set_of", "DT_JJ JJ_VBN VBN_NN NN_IN", "a_new_refined new_refined_set refined_set_of", "DT_JJ_VBN JJ_VBN_NN VBN_NN_IN","det","amod","amod","adpobj","adpmod", "", "", "", "", "", "", "", "", "","","","","","", "a new refined set of", 0, 0, "", "", "eyes", non_possession
"1_16_25","VBZ","DT","CC", "", "", "And_this this_is", "CC_DT DT_VBZ", "And_this_is", "CC_DT_VBZ","","","cc","nsubj","ROOT", "IN", "IN", "NNP", "NNP", "VBD", "because_as as_Wayne Wayne_Dyer Dyer_put", "IN_IN IN_NNP NNP_NNP NNP_VBD", "because_as_Wayne as_Wayne_Dyer Wayne_Dyer_put", "IN_IN_NNP IN_NNP_NNP NNP_NNP_VBD","dep","mark","compmod","nsubj","ccomp", "And this is because as Wayne Dyer put", 0, 0, "", "", "excellent", non_possession
"1_16_30","IN","IN","NN","VBZ","DT", "this_is is_excellent excellent_because because_as", "DT_VBZ VBZ_NN NN_IN IN_IN", "this_is_excellent is_excellent_because excellent_because_as", "DT_VBZ_NN VBZ_NN_IN NN_IN_IN","nsubj","ROOT","dobj","dep","mark", "NNP", "VBD", "PRP", "JJ", "PRP", "Dyer_put put_it it_“when “when_you", "NNP_VBD VBD_PRP PRP_JJ JJ_PRP", "Dyer_put_it put_it_“when it_“when_you", "NNP_VBD_PRP VBD_PRP_JJ PRP_JJ_PRP","nsubj","ccomp","dobj","amod","nsubj", "this is excellent because as Dyer put it “when you", 0, 0, "", "", "Wayne", non_possession
"1_16_31","NNP","IN","IN","NN","VBZ", "is_excellent excellent_because because_as as_Wayne", "VBZ_NN NN_IN IN_IN IN_NNP", "is_excellent_because excellent_because_as because_as_Wayne", "VBZ_NN_IN NN_IN_IN IN_IN_NNP","ROOT","dobj","dep","mark","compmod", "VBD", "PRP", "JJ", "PRP", "VBP", "put_it it_“when “when_you you_change", "VBD_PRP PRP_JJ JJ_PRP PRP_VBP", "put_it_“when it_“when_you “when_you_change", "VBD_PRP_JJ PRP_JJ_PRP JJ_PRP_VBP","ccomp","dobj","amod","nsubj","rcmod", "is excellent because as Wayne put it “when you change", 0, 0, "", "", "Dyer", non_possession
"1_16_39","DT","VBP","PRP","JJ","PRP", "it_“when “when_you you_change change_the", "PRP_JJ JJ_PRP PRP_VBP VBP_DT", "it_“when_you “when_you_change you_change_the", "PRP_JJ_PRP JJ_PRP_VBP PRP_VBP_DT","dobj","amod","nsubj","rcmod","det", "PRP", "VBP", "IN", "NNS", "DT", "you_look look_at at_things things_the", "PRP_VBP VBP_IN IN_NNS NNS_DT", "you_look_at look_at_things at_things_the", "PRP_VBP_IN VBP_IN_NNS IN_NNS_DT","nsubj","rcmod","adpmod","adpobj","det", "it “when you change the you look at things the", 0, 0, "", "", "way", non_possession
"1_16_43","IN","VBP","PRP","NN","DT", "the_way way_you you_look look_at", "DT_NN NN_PRP PRP_VBP VBP_IN", "the_way_you way_you_look you_look_at", "DT_NN_PRP NN_PRP_VBP PRP_VBP_IN","det","","nsubj","rcmod","adpmod", "DT", "NNS", "PRP", "VBP", "IN", "the_things things_you you_look look_at", "DT_NNS NNS_PRP PRP_VBP VBP_IN", "the_things_you things_you_look you_look_at", "DT_NNS_PRP NNS_PRP_VBP PRP_VBP_IN","det","","nsubj","rcmod","adpmod", "the way you look at the things you look at", 0, 0, "", "", "things", non_possession
"1_16_46","DT","NNS","IN","VBP","PRP", "you_look look_at at_things things_the", "PRP_VBP VBP_IN IN_NNS NNS_DT", "you_look_at look_at_things at_things_the", "PRP_VBP_IN VBP_IN_NNS IN_NNS_DT","nsubj","rcmod","adpmod","adpobj","det", "PRP", "VBP", "IN", "NNP", "", "you_look look_at at_change”", "PRP_VBP VBP_IN IN_NNP", "you_look_at look_at_change”", "PRP_VBP_IN VBP_IN_NNP","nsubj","rcmod","adpmod","","", "you look at things the you look at change”", 0, 0, "", "", "things", non_possession
"1_16_50","IN","VBP","PRP","NNS","DT", "the_things things_you you_look look_at", "DT_NNS NNS_PRP PRP_VBP VBP_IN", "the_things_you things_you_look you_look_at", "DT_NNS_PRP NNS_PRP_VBP PRP_VBP_IN","det","","nsubj","rcmod","adpmod", "", "", "", "", "", "", "", "", "","","","","","", "the things you look at", 0, 0, "", "", "change”", non_possession
"1_17_2", "", "", "", "", "", "", "", "", "","","","","","", "DT", "NNS", "PRP", "VBP", "NNS", "the_things things_we we_fear fear_increases", "DT_NNS NNS_PRP PRP_VBP VBP_NNS", "the_things_we things_we_fear we_fear_increases", "DT_NNS_PRP NNS_PRP_VBP PRP_VBP_NNS","det","dobj","nsubj","ccomp","compmod", "the things we fear increases", 0, 0, "", "", "Doing", non_possession
"1_17_4","DT","NNP", "", "", "", "Doing_the", "NNP_DT", "", "","","","","","det", "PRP", "VBP", "NNS", "NN", "IN", "we_fear fear_increases increases_confidence confidence_as", "PRP_VBP VBP_NNS NNS_NN NN_IN", "we_fear_increases fear_increases_confidence increases_confidence_as", "PRP_VBP_NNS VBP_NNS_NN NNS_NN_IN","nsubj","ccomp","compmod","dobj","", "Doing the we fear increases confidence as", 0, 0, "", "", "things", non_possession
"1_17_7","VBP","PRP","NNS","DT","NNP", "Doing_the the_things things_we we_fear", "NNP_DT DT_NNS NNS_PRP PRP_VBP", "Doing_the_things the_things_we things_we_fear", "NNP_DT_NNS DT_NNS_PRP NNS_PRP_VBP","","det","dobj","nsubj","ccomp", "NN", "IN", "VBN", "IN", "NNP", "confidence_as as_suggested suggested_by by_Steven", "NN_IN IN_VBN VBN_IN IN_NNP", "confidence_as_suggested as_suggested_by suggested_by_Steven", "NN_IN_VBN IN_VBN_IN VBN_IN_NNP","dobj","","","adpmod","compmod", "Doing the things we fear confidence as suggested by Steven", 0, 0, "", "", "increases", non_possession
"1_17_8","NNS","VBP","PRP","NNS","DT", "the_things things_we we_fear fear_increases", "DT_NNS NNS_PRP PRP_VBP VBP_NNS", "the_things_we things_we_fear we_fear_increases", "DT_NNS_PRP NNS_PRP_VBP PRP_VBP_NNS","det","dobj","nsubj","ccomp","compmod", "IN", "VBN", "IN", "NNP", "NNP", "as_suggested suggested_by by_Steven Steven_Aitchison", "IN_VBN VBN_IN IN_NNP NNP_NNP", "as_suggested_by suggested_by_Steven by_Steven_Aitchison", "IN_VBN_IN VBN_IN_NNP IN_NNP_NNP","","","adpmod","compmod","adpobj", "the things we fear increases as suggested by Steven Aitchison", 0, 0, "", "", "confidence", non_possession
"1_17_13","IN","VBN","IN","NN","NNS", "increases_confidence confidence_as as_suggested suggested_by", "NNS_NN NN_IN IN_VBN VBN_IN", "increases_confidence_as confidence_as_suggested as_suggested_by", "NNS_NN_IN NN_IN_VBN IN_VBN_IN","compmod","dobj","","","adpmod", "NNP", "", "", "", "", "", "", "", "","adpobj","","","","", "increases confidence as suggested by Aitchison", 0, 0, "", "", "Steven", non_possession
"1_17_14","NNP","IN","VBN","IN","NN", "confidence_as as_suggested suggested_by by_Steven", "NN_IN IN_VBN VBN_IN IN_NNP", "confidence_as_suggested as_suggested_by suggested_by_Steven", "NN_IN_VBN IN_VBN_IN VBN_IN_NNP","dobj","","","adpmod","compmod", "", "", "", "", "", "", "", "", "","","","","","", "confidence as suggested by Steven", 0, 0, "", "", "Aitchison", non_possession
"1_18_2","JJ","DT", "", "", "", "A_great", "DT_JJ", "", "","","","","det","amod", "TO", "VB", "NNS", "IN", "DT", "to_ground ground_ourselves ourselves_during during_these", "TO_VB VB_NNS NNS_IN IN_DT", "to_ground_ourselves ground_ourselves_during ourselves_during_these", "TO_VB_NNS VB_NNS_IN NNS_IN_DT","aux","ROOT","dobj","adpmod","det", "A great to ground ourselves during these", 0, 1, "", "", "way", non_possession
